iter	Passed	Remaining
407	5533	8029
408	5549	8018
409	5561	8003
410	5574	7989
411	5587	7974
412	5602	7962
413	5615	7949
414	5630	7937
415	5646	7927
416	5667	7924
417	5679	7907
418	5694	7896
419	5707	7882
420	5719	7865
421	5730	7848
422	5741	7831
423	5756	7820
424	5770	7806
425	5783	7792
426	5794	7775
427	5812	7768
428	5825	7753
429	5838	7739
430	5853	7727
431	5869	7716
432	5880	7699
433	5890	7682
434	5907	7673
435	5928	7668
436	5942	7656
437	5956	7643
438	5968	7626
439	5983	7615
440	5998	7603
441	6014	7593
442	6027	7578
443	6041	7565
444	6057	7554
445	6072	7543
446	6088	7532
447	6104	7522
448	6120	7511
449	6135	7499
450	6151	7488
451	6167	7476
452	6184	7467
453	6200	7456
454	6214	7443
455	6229	7431
456	6242	7416
457	6258	7406
458	6273	7394
459	6289	7383
460	6304	7371
461	6316	7356
462	6333	7345
463	6348	7333
464	6361	7319
465	6377	7307
466	6391	7295
467	6406	7282
468	6421	7270
469	6439	7261
470	6455	7250
471	6469	7236
472	6485	7225
473	6501	7214
474	6517	7203
475	6532	7191
476	6548	7180
477	6564	7169
478	6578	7155
479	6593	7143
480	6610	7132
481	6625	7120
482	6641	7108
483	6655	7095
484	6671	7083
485	6686	7071
486	6702	7059
487	6717	7047
488	6729	7031
489	6745	7021
490	6760	7008
491	6775	6995
492	6792	6985
493	6808	6973
494	6825	6963
495	6841	6951
496	6857	6939
497	6870	6925
498	6885	6912
499	6901	6901
500	6916	6889
501	6932	6877
502	6948	6865
503	6962	6852
504	6980	6842
505	6996	6830
506	7013	6819
507	7027	6806
508	7041	6792
509	7056	6779
510	7073	6768
511	7146	6811
512	7179	6815
513	7193	6802
514	7208	6788
515	7222	6774
516	7236	6760
517	7251	6747
518	7267	6734
519	7284	6723
520	7300	6711
521	7316	6699
522	7326	6682
523	7340	6668
524	7354	6653
525	7371	6642
526	7386	6629
527	7402	6617
528	7418	6604
529	7434	6592
530	7450	6580
531	7464	6566
532	7485	6558
533	7502	6546
534	7517	6534
535	7534	6522
536	7549	6509
537	7566	6497
538	7580	6483
539	7596	6471
540	7612	6458
541	7626	6444
542	7637	6428
543	7653	6415
544	7669	6403
545	7685	6390
546	7701	6378
547	7717	6365
548	7732	6352
549	7748	6339
550	7765	6327
551	7779	6313
552	7793	6300
553	7808	6286
554	7825	6274
555	7837	6258
556	7855	6247
557	7871	6235
558	7888	6223
559	7903	6209
560	7917	6195
561	7933	6183
562	7949	6170
563	7967	6159
564	7983	6146
565	7999	6133
566	8015	6121
567	8030	6107
568	8047	6095
569	8062	6081
570	8079	6070
571	8094	6056
572	8111	6044
573	8126	6030
574	8142	6018
575	8157	6004
576	8172	5991
577	8187	5978
578	8204	5965
579	8219	5952
580	8235	5939
581	8251	5926
582	8267	5913
583	8284	5900
584	8299	5887
585	8314	5874
586	8330	5861
587	8346	5848
588	8362	5834
589	8376	5820
590	8391	5807
591	8405	5793
592	8420	5779
593	8435	5765
594	8448	5750
595	8464	5737
596	8476	5722
597	8490	5707
598	8504	5693
599	8519	5679
600	8533	5665
601	8549	5652
602	8564	5638
603	8579	5624
604	8594	5611
605	8609	5597
606	8625	5584
607	8642	5571
608	8657	5558
609	8674	5546
610	8690	5532
611	8706	5519
612	8722	5506
613	8741	5495
614	8759	5483
615	8776	5470
616	8792	5457
617	8807	5443
618	8823	5430
619	8839	5417
620	8856	5405
621	8872	5392
622	8888	5378
623	8904	5365
624	8920	5352
625	8937	5339
626	8952	5326
627	8969	5313
628	8984	5299
629	9000	5286
630	9015	5272
631	9032	5259
632	9049	5246
633	9066	5233
634	9082	5220
635	9097	5206
636	9112	5192
637	9126	5178
638	9143	5165
639	9249	5202
640	9264	5188
641	9278	5173
642	9291	5158
643	9308	5145
644	9323	5131
645	9338	5117
646	9351	5102
647	9368	5089
648	9385	5075
649	9400	5061
650	9416	5048
651	9432	5034
652	9449	5021
653	9464	5007
654	9479	4992
655	9494	4979
656	9509	4964
657	9525	4950
658	9541	4937
659	9557	4923
660	9572	4909
661	9589	4896
662	9605	4882
663	9620	4868
664	9636	4854
665	9655	4842
666	9669	4827
667	9686	4814
668	9701	4800
669	9719	4787
670	9735	4773
671	9751	4759
672	9771	4747
673	9786	4733
674	9799	4718
675	9817	4705
676	9833	4691
677	9846	4676
678	9861	4661
679	9883	4651
680	9898	4636
681	9913	4622
682	9929	4608
683	9942	4593
684	9955	4578
685	9968	4562
686	9983	4548
687	10004	4536
688	10021	4523
689	10041	4511
690	10056	4496
691	10071	4482
692	10087	4468
693	10104	4455
694	10119	4440
695	10134	4426
696	10149	4412
697	10164	4397
698	10183	4385
699	10200	4371
700	10216	4357
701	10235	4344
702	10250	4330
703	10266	4316
704	10281	4302
705	10297	4288
706	10311	4273
707	10327	4259
708	10343	4245
709	10358	4230
710	10374	4216
711	10389	4202
712	10405	4188
713	10421	4174
714	10436	4159
715	10452	4146
716	10468	4132
717	10489	4119
